lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,
1,75185,01:15.2,0,107.51221466064453,0,0,4,4840,0.5473496913909912,4905.356934,4.739598274230957,-4189.147461,right start,,1,76581,01:16.6,0,103.75183868408203,0.10998926311731339,0,4,4680,-1.801927805,4870.231445,4.688304901123047,-4168.132324,end
1,79784,01:19.8,0,111.76409149169922,0.1882352977991104,0,4,5058.395508,5.866458415985107,4789.67627,4.6975932121276855,-4116.663574,right start,,1,80541,01:20.5,0,111.77761840820312,0.13725490868091583,0,4,5052,-10.84707355,4769.080566,4.744674205780029,-4105.331055,end
1,93617,01:33.6,0,120.5442123413086,0,0,5,4248,-4.34658432,4383.929199,5.286275386810303,-3849.377686,left start,,1,94634,01:34.6,0,118.40079498291016,0.096378937,0,5,4180,5.506473064422607,4356.930176,5.272403717041016,-3829.165771,end
1,101560,01:41.6,0,131.1677246,0,0,5,4620,-4.007425308,4153.390625,5.356250286102295,-3692.172119,left start,,1,102766,01:42.8,0,127.94034576416016,0,0,5,4508,6.79296875,4118.366211,5.345120906829834,-3666.512695,end
1,107466,01:47.5,0,114.69947814941406,0,0,5,4044,7.288520336151123,3986.039794921875,6.602297782897949,-3579.080566,right start,,1,107994,01:48.0,0,113.07181549072266,0,0,5,3988,-16.7536068,3971.158447265625,6.949250221252441,-3571.497314,end
1,111856,01:51.9,0,101.1062240600586,0.026363598182797432,0,5,3570,5.303290843963623,3874.796142578125,9.895885467529297,-3509.365723,right start,,1,112805,01:52.8,0,100.0251235961914,0.18431372940540314,0,5,3542,0.6838773488998413,3851.781738,10.580870628356934,-3496.332764,end
1,117425,01:57.4,0,116.88417053222656,0.40392157435417175,0,5,4172,-2.263677835,3739.925781,12.855844497680664,-3421.820313,left start,,1,118233,01:58.2,0,120.31119537353516,0.27843138575553894,0,5,4276,4.31640625,3718.74707,13.065611839294434,-3405.516357,end
1,137271,02:17.3,0,121.60818481445312,0,0,5,4284,1.2014760971069336,3174.344238,3.461960792541504,-3044.308594,right start,,1,139142,02:19.1,0,119.63436889648438,0.22745098173618317,0,5,4236,-1.571209311,3121.25293,2.122133255004883,-3011.322998,end
1,143238,02:23.2,0,116.97720336914062,0,0,5,4124,-0.096408039,3007.746094,-0.745652735,-2935.855957,left start,,1,144726,02:24.7,0,114.5381088256836,0,0,5,4041.942138671875,2.294921875,2968.988037109375,-1.755259156,-2907.823242,end
1,151868,02:31.9,0,109.9153060913086,0.1411764770746231,0,5,3888,3.283203125,2784.951904296875,-1.972034574,-2785.894043,right start,,1,152691,02:32.7,0,109.63215637207031,0.14509804546833038,0,5,3878,-9.079406738,2763.050537109375,-1.910681844,-2773.640869,end
1,157365,02:37.4,0,108.53752899169922,0.1411764770746231,0,5,3840,-4.597036839,2645.508789,-1.693042278,-2694.530518,left start,,1,158604,02:38.6,0,108.18656921386719,0.13725490868091583,0,5,3828,4.273977756500244,2616.507568359375,-1.61491859,-2671.031006,end Curve
1,166492,02:46.5,0,109.61444854736328,0,0,5,3867.815185546875,3.303225279,2427.958740234375,-0.980883241,-2515.297607,right start,,1,167941,02:47.9,0,106.46341705322266,0,0,5,3756.656494140625,-1.57421875,2393.780273,-0.964945138,-2488.429443,end
1,172672,02:52.7,0,101.83985900878906,0.17718759179115295,0,5,3606.182861328125,-7.328103065,2290.576172,-0.968090713,-2399.177734,left start,,1,173671,02:53.7,0,106.63485717773438,0.4431372582912445,0,5,3822.671142578125,6.028496742248535,2270.132324,-0.967978358,-2378.980469,end
1,198601,03:18.6,0,114.09664916992188,0.351804644,0,5,4071.42041,3.5299391746520996,1642.330078,-19.53471756,-1837.700806,right start,,1,199895,03:19.9,0,119.91929626464844,0.20409610867500305,0,5,4252,-2.033433914,1609.1099853515625,-19.34004211,-1811.557983,end
1,205026,03:25.0,0,120.65433502197266,0.2078431397676468,0,5,4272,-2.967604876,1480.0130615234375,-16.93986702,-1699.93689,left start,,1,205939,03:25.9,0,121.00816345214844,0.2078431397676468,0,5,4284,6.031248569488525,1458.0543212890625,-16.47839165,-1678.537109,end
1,212221,03:32.2,0,122.2831039428711,0.20392157137393951,0,5,4329.23877,5.8046875,1296.7569580078125,-11.7272625,-1539.61853,right start,,1,213139,03:33.1,0,122.1342773,0.20392157137393951,0,5,4324,-5.7578125,1271.941406,-10.89744854,-1520.76062,end
1,217852,03:37.9,0,109.7405014038086,0.043640006333589554,0,5,3873.743652,-5.69731617,1156.1273193359375,-6.812822342,-1420.498901,left start,,1,218625,03:38.6,0,107.83302307128906,0.062745102,0,5,3810,7.177306175231934,1139.8248291015625,-6.184009075,-1403.807495,end Curve
1,230987,03:51.0,0,114.67191314697266,0,0,5,4046.404785,-9.323011398,949.8380126953125,-1.27370584,-1084.531494,right start,,1,232184,03:52.2,0,111.55705261230469,0,0,5,3934.906738,-6.61328125,941.9405517578125,-1.069360733,-1047.823975,end Curve
1,239395,03:59.4,0,108.9673080444336,0.16470588743686676,0,5,3855.334716796875,-0.479930758,936.8540039,-0.834865212,-832.5755005,left start,,1,240267,04:00.3,0,109.2132339477539,0.1679980754852295,0,5,3864,3.777632713317871,938.6339721679688,-0.926268756,-806.2300415,end
1,246006,04:06.0,0,104.51087951660156,0.14509804546833038,0,5,3698,8.089871406555176,938.0012207,-1.005131721,-632.6548462,right start,,1,246932,04:06.9,0,106.18790435791016,0.3803921639919281,0,5,3797.513916015625,-7.36775732,936.0196533203125,-0.641219258,-605.7443848,end
